WNV_Present,Trap_type_CDC,Trap_type_GRAVID,Trap_type_SENTINEL,Species_CULEX_PIPIENS,Species_CULEX_RESTUANS,Species_CULEX_SALINARIUS,Species_CULEX_TERRITANS,Year,Week,Month,Lat,Lon,Mosquito_number
1,0,1,0,0,1,0,0,2013,28,7,41.98788069,-87.66678508,19
1,0,1,0,0,1,0,0,2013,28,7,41.98788609,-87.66677835,19
1,0,1,0,0,1,0,0,2013,28,7,41.98788996,-87.66678213,19
0,0,1,0,0,1,0,0,2013,28,7,41.98724461,-87.68941677,32
0,0,1,0,0,1,0,0,2013,28,7,41.87287286,-87.76473653,11
0,0,1,0,0,1,0,0,2013,28,7,41.76337092,-87.63787261,2
0,0,1,0,0,1,0,0,2013,28,7,41.99356436,-87.74542039,124
0,0,1,0,0,1,0,0,2013,28,7,41.92388736,-87.77890991,5
0,0,1,0,0,1,0,0,2013,28,7,41.9949663,-87.77083722,39
0,0,1,0,0,1,0,0,2013,28,7,41.77600539,-87.77940767,3
0,0,1,0,0,1,0,0,2013,28,7,41.77119859,-87.70310661,24
0,0,1,0,0,1,0,0,2013,28,7,41.72849003,-87.60852431,98
0,0,1,0,0,1,0,0,2013,28,7,41.96201464,-87.64684773,2
1,0,1,0,0,1,0,0,2013,28,7,42.0079975,-87.77823497,45
1,0,1,0,0,1,0,0,2013,28,7,42.00800164,-87.77822881,45
1,0,1,0,0,1,0,0,2013,28,7,42.00800217,-87.77822851,45
1,0,1,0,0,1,0,0,2013,28,7,42.0080026,-87.77822891,45
1,0,1,0,0,1,0,0,2013,28,7,42.00800284,-87.77822547,45
1,0,1,0,0,1,0,0,2013,28,7,42.00800321,-87.77823316,45
1,0,1,0,0,1,0,0,2013,28,7,42.00800686,-87.77823213,45
0,0,1,0,0,1,0,0,2013,28,7,41.91613472,-87.80109281,11
0,0,1,0,0,1,0,0,2013,28,7,42.01064327,-87.8067973,10
0,0,1,0,0,1,0,0,2013,28,7,41.76575253,-87.56246521,6
0,0,1,0,0,1,0,0,2013,28,7,41.75414841,-87.61272102,9
0,0,1,0,0,1,0,0,2013,28,7,41.75036957366135,-87.58445996029592,9
0,0,1,0,0,1,0,0,2013,28,7,41.74267048,-87.73155006,49
0,0,1,0,0,1,0,0,2013,28,7,41.73144686,-87.64972225,44
0,0,1,0,0,1,0,0,2013,28,7,41.73318788,-87.55562869,5
0,0,1,0,0,1,0,0,2013,28,7,41.9885864,-87.85447335,121
0,0,1,0,0,1,0,0,2013,28,7,41.71859582,-87.66892624,20
0,0,1,0,0,1,0,0,2013,28,7,41.79436648,-87.64892514,13
0,0,1,0,0,1,0,0,2013,29,7,41.97918417185854,-87.90603567116452,2
0,0,1,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,16
0,0,1,0,1,0,0,0,2013,29,7,41.97927587140582,-87.90599275843982,4
1,0,1,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,47
1,0,1,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,46
0,0,1,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,96
0,1,0,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,5
0,0,1,0,0,1,0,0,2013,29,7,41.97927587140582,-87.90599275843982,2
0,0,1,0,0,1,0,0,2013,29,7,41.7105424,-87.58455893,6
0,0,1,0,0,1,0,0,2013,29,7,41.70433842,-87.65708427,8
0,0,1,0,0,1,0,0,2013,29,7,41.69549407,-87.60908177,44
0,0,1,0,0,1,0,0,2013,29,7,41.7730854,-87.60016756,5
0,0,1,0,0,1,0,0,2013,29,7,41.67688732,-87.66122193,34
0,0,1,0,0,1,0,0,2013,29,7,41.86759925,-87.69578544,12
0,0,1,0,0,1,0,0,2013,29,7,41.86691518,-87.65491884,48
0,0,1,0,0,1,0,0,2013,29,7,41.66238673,-87.59017973,89
0,0,1,0,0,1,0,0,2013,29,7,42.01052929,-87.66084507,1
0,0,1,0,0,1,0,0,2013,29,7,41.65706888,-87.54604887,21
1,0,1,0,0,1,0,0,2013,29,7,41.90477345,-87.75568575,34
1,0,1,0,0,1,0,0,2013,29,7,41.90477729,-87.75568386,34
1,0,1,0,0,1,0,0,2013,29,7,41.90477955,-87.75567776,34
0,0,1,0,0,1,0,0,2013,29,7,41.90728487,-87.70139464,2
0,0,1,0,0,1,0,0,2013,29,7,41.91305186,-87.66790524,13
0,0,1,0,0,1,0,0,2013,29,7,41.7212875,-87.6652357,13
0,0,1,0,0,1,0,0,2013,29,7,41.9470445,-87.67306105,3
0,0,1,0,0,1,0,0,2013,29,7,41.88377178,-87.71616837,122
0,0,1,0,0,1,0,0,2013,29,7,41.9220638,-87.63223306,9
0,0,1,0,0,1,0,0,2013,29,7,41.80104786,-87.68042473,54
0,0,1,0,0,1,0,0,2013,29,7,41.76848567,-87.67946343,25
1,0,1,0,0,1,0,0,2013,29,7,41.70468721,-87.56423556,13
1,0,1,0,0,1,0,0,2013,29,7,41.70468874,-87.56422809,13
1,0,1,0,0,1,0,0,2013,29,7,41.70469103,-87.56423074,13
1,0,1,0,0,1,0,0,2013,29,7,41.7046923,-87.56423348,13
1,0,1,0,0,1,0,0,2013,29,7,41.70469394,-87.56423107,13
0,0,1,0,0,1,0,0,2013,29,7,41.8457154,-87.7158986,8
0,0,1,0,0,1,0,0,2013,29,7,41.89221998,-87.69169773,1
0,0,1,0,0,1,0,0,2013,29,7,41.93279021,-87.70023788,4
0,0,1,0,0,1,0,0,2013,29,7,41.6821804,-87.71009165,10
0,0,1,0,1,0,0,0,2013,29,7,41.94596109,-87.83294247,1
0,0,1,0,0,1,0,0,2013,29,7,41.94596109,-87.83294247,18
0,0,1,0,0,1,0,0,2013,29,7,41.68103493,-87.53343647,77
0,0,1,0,0,1,0,0,2013,29,7,41.82539826,-87.72396214,9
0,0,1,0,0,1,0,0,2013,29,7,41.95366415,-87.72498719,26
1,0,1,0,0,1,0,0,2013,29,7,41.95366415,-87.72498719,43
1,0,1,0,0,1,0,0,2013,29,7,41.95366524,-87.7249868,43
1,0,1,0,0,1,0,0,2013,29,7,41.95366998,-87.7249847,43
0,0,1,0,0,1,0,0,2013,29,7,41.82085851,-87.6651081,22
0,0,1,0,0,1,0,0,2013,29,7,41.70532764,-87.63295537,2
0,0,1,0,0,1,0,0,2013,29,7,41.95629886,-87.79751745,34
0,0,1,0,1,0,0,0,2013,29,7,41.77484112,-87.72800582,4
0,0,1,0,0,1,0,0,2013,29,7,41.77484112,-87.72800582,31
0,0,1,0,0,0,1,0,2013,29,7,41.77484112,-87.72800582,1
0,0,1,0,0,1,0,0,2013,29,7,41.96440545,-87.69137039,3
0,0,1,0,0,1,0,0,2013,29,7,41.65923602,-87.61201513,69
0,0,1,0,0,1,0,0,2013,29,7,41.663756686541326,-87.63377020262799,36
0,0,1,0,0,1,0,0,2013,29,7,41.80235931,-87.64307592,10
0,0,1,0,0,1,0,0,2013,29,7,41.97452276,-87.80458947,1
0,0,1,0,0,1,0,0,2013,29,7,41.79821073,-87.73692496,2
0,0,1,0,0,1,0,0,2013,29,7,41.98631985,-87.72837846,64
